Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK,,
5.693864,0,0x48,0x00,Write,ACK,,
5.693957,0,0x48,0x00,Write,ACK,,
5.6940515,0,0x48,0xFF,Write,ACK,,
5.6941465,0,0x48,0x02,Write,ACK,,
5.694241,0,0x48,0xFE,Write,ACK,,
5.694336,0,0x48,0xD4,Write,ACK,,
5.6944305,0,0x48,0x02,Write,ACK,,
5.6945255,0,0x48,0x2A,Write,ACK,,
5.69462,0,0x48,0x00,Write,ACK,,
5.706871,1,0x49,0x01,Read,ACK,1,1
5.7069665,1,0x49,0x00,Read,ACK,2,2
5.707062,1,0x49,0x00,Read,ACK,3,3
5.707158,1,0x49,0xFF,Read,ACK,4,4
5.7072535,1,0x49,0x00,Read,ACK,5,5
5.707349,1,0x49,0xFF,Read,ACK,6,6
5.7074445,1,0x49,0x00,Read,ACK,7,7
5.70754,1,0x49,0x02,Read,NAK,8,8
5.715838,2,0x49,0x01,Read,ACK,9,1
5.7159335,2,0x49,0x00,Read,ACK,10,2
5.716029,2,0x49,0x00,Read,ACK,11,3
5.7161245,2,0x49,0xFF,Read,ACK,12,4
5.71622,2,0x49,0x06,Read,ACK,13,5
5.716316,2,0x49,0xFA,Read,ACK,14,6
5.7164115,2,0x49,0xD5,Read,ACK,15,7
5.716507,2,0x49,0x03,Read,ACK,16,8
5.7166025,2,0x49,0x32,Read,ACK,17,9
5.7166985,2,0x49,0x01,Read,ACK,18,10
5.716794,2,0x49,0x06,Read,ACK,19,11
5.7168895,2,0x49,0x07,Read,ACK,20,12
5.716985,2,0x49,0xE8,Read,ACK,21,13
5.7170805,2,0x49,0x00,Read,NAK,22,14
5.7321495,3,0x48,0x00,Write,ACK,1,
5.7322425,3,0x48,0x00,Write,ACK,2,
5.7323425,3,0x48,0xFF,Write,ACK,3,
5.7324375,3,0x48,0x06,Write,ACK,4,
5.732532,3,0x48,0xFA,Write,ACK,5,
5.732627,3,0x48,0xD4,Write,ACK,6,
5.7327215,3,0x48,0x32,Write,ACK,7,
5.732816,3,0x48,0x05,Write,ACK,8,
5.732911,3,0x48,0xFF,Write,ACK,9,
5.7330055,3,0x48,0x01,Write,ACK,10,
5.7331005,3,0x48,0xFF,Write,ACK,11,
5.733195,3,0x48,0xF6,Write,ACK,12,
5.73329,3,0x48,0x00,Write,ACK,13,
5.745541,4,0x49,0x01,Read,ACK,1,
5.7456365,4,0x49,0x00,Read,ACK,2,
5.745732,4,0x49,0x00,Read,ACK,3,
5.745828,4,0x49,0xFF,Read,ACK,4,
5.7459235,4,0x49,0x00,Read,ACK,5,
5.746019,4,0x49,0xFF,Read,ACK,6,
5.7461145,4,0x49,0x00,Read,ACK,7,
5.74621,4,0x49,0x32,Read,NAK,8,
5.754602,5,0x48,0x00,Write,ACK,1,…Ë÷√ƒ£ Ω
5.7546945,5,0x48,0x00,Write,ACK,2,
5.7547895,5,0x48,0xFF,Write,ACK,3,
5.754884,5,0x48,0x05,Write,ACK,4,
5.754979,5,0x48,0xFB,Write,ACK,5,
5.7550735,5,0x48,0xD4,Write,ACK,6,
5.7551685,5,0x48,0x14,Write,ACK,7,
5.755263,5,0x48,0x01,Write,ACK,8,
5.755358,5,0x48,0x14,Write,ACK,9,
5.7554525,5,0x48,0x01,Write,ACK,10,
5.7555475,5,0x48,0x02,Write,ACK,11,
5.755642,5,0x48,0x00,Write,ACK,12,
5.767893,6,0x49,0x01,Read,ACK,1,
5.7679885,6,0x49,0x00,Read,ACK,2,
5.7680845,6,0x49,0x00,Read,ACK,3,
5.76818,6,0x49,0xFF,Read,ACK,4,
5.7682755,6,0x49,0x00,Read,ACK,5,
5.768371,6,0x49,0xFF,Read,ACK,6,
5.7684665,6,0x49,0x00,Read,ACK,7,
5.768562,6,0x49,0x14,Read,NAK,8,
5.7768605,7,0x49,0x01,Read,ACK,1,
5.776956,7,0x49,0x00,Read,ACK,2,
5.7770515,7,0x49,0x00,Read,ACK,3,
5.777147,7,0x49,0xFF,Read,ACK,4,
5.777243,7,0x49,0x02,Read,ACK,5,
5.7773385,7,0x49,0xFE,Read,ACK,6,
5.777434,7,0x49,0xD5,Read,ACK,7,
5.7775295,7,0x49,0x15,Read,ACK,8,
5.7776255,7,0x49,0x16,Read,ACK,9,
5.7777205,7,0x49,0x00,Read,NAK,10,
5.7884405,8,0x48,0x00,Write,ACK,1,
5.7885335,8,0x48,0x00,Write,ACK,2,
5.788628,8,0x48,0xFF,Write,ACK,3,
5.788723,8,0x48,0x04,Write,ACK,4,
5.7888175,8,0x48,0xFC,Write,ACK,5,
5.788912,8,0x48,0xD4,Write,ACK,6,
5.789007,8,0x48,0x4A,Write,ACK,7,
5.7891015,8,0x48,0x01,Write,ACK,8,
5.7891965,8,0x48,0x00,Write,ACK,9,
5.789291,8,0x48,0xE1,Write,ACK,10,
5.789386,8,0x48,0x00,Write,ACK,11,
5.801637,9,0x49,0x01,Read,ACK,1,
5.8017325,9,0x49,0x00,Read,ACK,2,
5.8018285,9,0x49,0x00,Read,ACK,3,
5.801924,9,0x49,0xFF,Read,ACK,4,
5.8020195,9,0x49,0x00,Read,ACK,5,
5.802115,9,0x49,0xFF,Read,ACK,6,
5.802211,9,0x49,0x00,Read,ACK,7,
5.802306,9,0x49,0x4A,Read,NAK,8,
